origin,total_flights,delayed_flights,delay_rate_pct,avg_dep_delay_min
ATL,341910,67041,19.61,11.1
DFW,313582,83172,26.52,18.93
DEN,308645,69288,22.45,13.26
ORD,280052,65275,23.31,15.24
CLT,217574,57894,26.61,18.43
LAX,194053,36014,18.56,10.27
PHX,193551,36730,18.98,10.95
LAS,189252,40789,21.55,12.89
SEA,163725,34720,21.21,9.54
LGA,162432,28633,17.63,10.68
MCO,159553,38146,23.91,15.96
BOS,143490,28751,20.04,12.01
DCA,140016,27564,19.69,12.15
SFO,134978,29347,21.74,14.5
DTW,131367,24927,18.98,11.23
EWR,128979,28011,21.72,14.05
MSP,126779,23730,18.72,10.09
JFK,123348,25429,20.62,12.82
IAH,115940,27628,23.83,17.81
SLC,113247,19443,17.17,9.23
MIA,109944,29981,27.27,19.61
PHL,100635,22092,21.95,15.11
BNA,100220,19032,18.99,11.77
BWI,98572,23898,24.24,15.35
SAN,94645,21981,23.22,12.8
FLL,91890,24093,26.22,17.25
AUS,85344,18290,21.43,14.75
MDW,79633,17460,21.93,12.91
TPA,78517,16888,21.51,14.37
DAL,72674,16496,22.7,13.99