route,origin,dest,total_flights,delay_rate_pct,avg_arr_delay_min
SJU-BDL,SJU,BDL,1001,42.06,30.0
SJU-PHL,SJU,PHL,1438,40.82,28.2
BDL-SJU,BDL,SJU,1000,40.0,28.7
CLT-SFO,CLT,SFO,1617,39.21,22.4
SAN-SFO,SAN,SFO,6364,38.48,21.2
DFW-MSN,DFW,MSN,1067,38.14,27.0
MIA-SFO,MIA,SFO,1530,37.97,22.7
DFW-SFO,DFW,SFO,4061,36.91,21.4
DFW-PBI,DFW,PBI,1141,36.28,24.1
PHL-SJU,PHL,SJU,1443,36.24,19.9
PSP-SFO,PSP,SFO,2294,36.01,19.4
DFW-DSM,DFW,DSM,1218,35.39,25.8
DFW-MKE,DFW,MKE,1257,34.92,25.5
LAS-SFO,LAS,SFO,5773,34.82,18.0
DFW-RSW,DFW,RSW,1342,34.65,20.3
DFW-FAT,DFW,FAT,1435,34.49,19.2
DFW-MSY,DFW,MSY,3023,33.51,19.7
DFW-GRR,DFW,GRR,1125,33.42,23.8
DFW-SAT,DFW,SAT,4548,33.16,22.3
SEA-SFO,SEA,SFO,6600,33.15,15.2
PHX-SFO,PHX,SFO,4778,33.09,17.2
CLT-SEA,CLT,SEA,1321,33.08,20.5
DFW-SMF,DFW,SMF,1777,32.92,19.3
DEN-SFO,DEN,SFO,5546,32.89,15.5
SNA-SFO,SNA,SFO,4279,32.88,16.1